name,publisher,source_owner,theme,geography,granularity,access,cadence,formats,key_fields,records,updated,housing_relevant,queryable,capabilities,priority,current_use_state,desired_use_state,url,item_page,notes
 Fleet Management - Equipment Service Request Form _form,City of Dayton,Frank.Boateng_DaytonOhio (City of Dayton GIS / PND),,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2024-06-13,,Y,"Create,Query,Update,Editing,Extract",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_4b723f4263c44a91b161f6315a6a2681_form/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=0f64a3233f8e49bf89daa20b5a0f691f,
 Fleet Management - Equipment Service Request Form _results,City of Dayton,Frank.Boateng_DaytonOhio (City of Dayton GIS / PND),,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2024-06-13,,Y,"Create,Delete,Query,Update,Editing,Extract",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_4b723f4263c44a91b161f6315a6a2681_results/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=a270731e141544e0a4395c85faff24a1,
2019OrthoCache,City of Dayton,emma.jewell (City of Dayton GIS / PND),,City of Dayton,jurisdiction/county,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2020-05-14,,N,Service not found,,,,https://maps.daytonohio.gov/gisservices/rest/services/Basemap/2019OrthoCache/MapServer,https://daytonohio.maps.arcgis.com/home/item.html?id=f8ebab497a18423c868324037af2b3db,
2019OrthoImagery,City of Dayton,emma.jewell (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2026-04-28,,N,service unreachable: <urlopen error [Errno 8] nodename nor s,,,,https://wtrhansen-ags:6443/arcgis/rest/services/Orthos/2019OrthoImagery/MapServer/,https://daytonohio.maps.arcgis.com/home/item.html?id=3fa5eb0db42043ca8987e900b19f912a,
2022OrthoCache,City of Dayton,greg.hornbeek_DaytonOhio (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2023-05-30,,N,"Map,Query,Data",,,,https://maps.daytonohio.gov/gisservices/rest/services/Basemap/2022OrthoCache/MapServer,https://daytonohio.maps.arcgis.com/home/item.html?id=b0620230543049b29afb74e489394b14,2022 Ortho Imagery
2024 Annual Water Meeting_form,City of Dayton,emma.jewell (City of Dayton GIS / PND),infrastructure,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2024-07-15,,N,"Create,Editing",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_dba313d55d174081bceb351728beaa2c_form/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=b859da7a950a4eb69a4cad405805f724,
2024 Annual Water Meeting_results,City of Dayton,emma.jewell (City of Dayton GIS / PND),infrastructure,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2024-07-29,,Y,"Query,Extract",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_dba313d55d174081bceb351728beaa2c_results/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=085a3e10805b46f6b12f14d9a67e7cc0,
2024 Fall Ortho (Portal),City of Dayton,emma.jewell (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2026-07-07,,N,"Map,Query,Data",,,,https://utility.arcgis.com/usrsvcs/servers/ff8c4d1ed48d41e8958f511816e255d8/rest/services/Ortho/2024_Ortho_Fall/MapServer,https://daytonohio.maps.arcgis.com/home/item.html?id=ff8c4d1ed48d41e8958f511816e255d8,
2024 Feedback ,City of Dayton,emma.jewell (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-02-07,,Y,"Create,Delete,Query,Update,Editing,Extract,Sync",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_a441b5cb536b4421b3c417a82244eb03/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=b430b1b56f0048d4a35504adfd979e65,
2024 Feedback Form,City of Dayton,emma.jewell (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-02-07,,N,"Create,Editing",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_a441b5cb536b4421b3c417a82244eb03_form/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=0bc6bb8f5a3648769d3f033819279ea2,
2024 Feedback Results,City of Dayton,emma.jewell (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-02-07,,Y,"Query,Extract",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_a441b5cb536b4421b3c417a82244eb03_results/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=3608c302426c4b28a0b1171878f9e23f,
2024 Ortho Imagery,City of Dayton,greg.hornbeek_DaytonOhio (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2024-11-08,,N,"Map,Query,Data",,,,https://maps.daytonohio.gov/gisservices/rest/services/Basemap/Fall2024OrthoCache/MapServer,https://daytonohio.maps.arcgis.com/home/item.html?id=74f34ebd5f8f41a4bdb86cf79d80ede3,2024 Ortho Cache
2026 Technology Capital Project Rank_form,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),investment/projects,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-08-27,,N,"Create,Editing",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_22b7b008a0b0421f9a042f71c187979d_form/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=25786ed1c09e46abadf1c3475bf8292a,
2026 Technology Capital Project Rank_results,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),investment/projects,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-08-27,,Y,"Query,Extract",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_22b7b008a0b0421f9a042f71c187979d_results/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=b32ea5b5d199433aad2bec9d079b4e7f,
2026_Spring_Ortho,City of Dayton,emma.jewell (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2026-07-07,,N,Token Required,,,,https://maps.daytonohio.gov/image/rest/services/Ortho/2026_Spring_Ortho/MapServer,https://daytonohio.maps.arcgis.com/home/item.html?id=4346ec9007e946cfa9dd4c4680352667,
325 Paul Laurence Dunbar St Orthomosaic,City of Dayton,Frank.Boateng_DaytonOhio (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2022-11-04,,N,"Map,TilesOnly,Tilemap",,,,https://tiles.arcgis.com/tiles/3dDB2Kk6kuA2gIGw/arcgis/rest/services/325_Paul_Laurence_Dunbar_St_Orthomosaic/MapServer,https://daytonohio.maps.arcgis.com/home/item.html?id=e384ac4b76df495e9a4736c990f95ee2,orthomosaic
Accela Permit Upload Form_form,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),code enforcement,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-05-13,,N,"Create,Editing",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_6c2fa21425bd4c99ad83d5efb801eee3_form/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=f7b15083b43246c282f561e4bdc58344,
Accela/AccelaIncidents,City of Dayton,City of Dayton GIS,code enforcement,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,1 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Accela/AccelaIncidents/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
Accela_UPDATES/AccelaIncidents_UPDATE,City of Dayton,City of Dayton GIS,code enforcement,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,1 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Accela_UPDATES/AccelaIncidents_UPDATE/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
Active Capital Improvement Project Points,City of Dayton,jenny.schulz (City of Dayton GIS / PND),investment/projects,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-03-25,,Y,"Map,Query,Data",,,,https://maps.daytonohio.gov/gisservices/rest/services/CapitalPlanning/Active_Capital_Improvement_Projects/MapServer,https://daytonohio.maps.arcgis.com/home/item.html?id=68f4f0a938854b92b7406e15bd39c35e,Point file used for the public to explore CIP data.
AdaptDayton Community Survey,City of Dayton,Cameron.Goschinski (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2026-03-02,,Y,"Create,Delete,Query,Update,Editing,Extract,Sync",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_b82290ad1bb840a3af7583c18dabc5c0/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=4b49228b515647b684892a18e8ccd239,
AdaptDayton Community Survey_form,City of Dayton,Cameron.Goschinski (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2026-01-14,,N,"Create,Editing",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_b82290ad1bb840a3af7583c18dabc5c0_form/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=5ec3fafe370c45b2a8002f04a2b6334a,
AdaptDayton Email,City of Dayton,Cameron.Goschinski (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2026-01-14,,Y,"Create,Delete,Query,Update,Editing,Extract,Sync",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_caff0e6077df419ab2716dbf17853639/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=682a2cdce9ab4c4a9872a363854b8fe9,
