name,theme,publisher,bucket,prune_status,prune_reason,geo_flag,scratchpad_flag,records,fields,updated
BethelTwp_Zoning,affordability/tenure,MVRPC (regional),"High-value, good data — promotion candidate",deduped,duplicate of Regional Zoning 2025 (same record/field count),not-checked,,970,29,2025-11-26
Regional Zoning 2008,affordability/tenure,MVRPC (regional),"High-value, good data — promotion candidate",deduped,duplicate of Regional Zoning 2025 (same record/field count),not-checked,,970,29,2025-11-26
Fire/Parcels,ownership/transfers,City of Dayton,"High-value, good data — promotion candidate",deduped,"duplicate of DaytonParcels (canonical, Tier 2)",not-checked,,273627,58,
Parcels_Join,ownership/transfers,City of Dayton,"High-value, good data — promotion candidate",deduped,"duplicate of DaytonParcels (canonical, Tier 2)",not-checked,,273627,125,
PublicWorks/DaytonOwnedParcel,ownership/transfers,City of Dayton,"High-value, good data — promotion candidate",deduped,"duplicate of DaytonParcels (canonical, Tier 2)",not-checked,,273627,196,
Water/ParcelLayerWE,ownership/transfers,City of Dayton,"High-value, good data — promotion candidate",deduped,"duplicate of DaytonParcels (canonical, Tier 2)",not-checked,,273627,85,
PublicWorks/DaytonParcel,ownership/transfers,City of Dayton,"High-value, good data — promotion candidate",deduped,"duplicate of DaytonParcels (canonical, Tier 2)",not-checked,,254227,196,
Basemaps/DaytonParcels_NoAttachments,ownership/transfers,City of Dayton,"High-value, good data — promotion candidate",deduped,"duplicate of DaytonParcels (canonical, Tier 2)",not-checked,,88668,57,2026-06-16
PublicWorks/SLSA_2014_Parcels,ownership/transfers,City of Dayton,"High-value, good data — promotion candidate",deduped,"duplicate of DaytonParcels (canonical, Tier 2)",not-checked,,88512,17,
SLSA 2014 Parcels,ownership/transfers,City of Dayton,"High-value, good data — promotion candidate",deduped,"duplicate of DaytonParcels (canonical, Tier 2)",not-checked,,88512,17,2018-11-12
SLSA_2014_Parcels,ownership/transfers,City of Dayton,"High-value, good data — promotion candidate",deduped,"duplicate of DaytonParcels (canonical, Tier 2)",not-checked,,88512,17,2018-11-12
Base/DaytonParcels,ownership/transfers,City of Dayton,"High-value, good data — promotion candidate",deduped,"duplicate of DaytonParcels (canonical, Tier 2)",not-checked,,86939,58,
Environmental/Parcels,ownership/transfers,City of Dayton,"High-value, good data — promotion candidate",deduped,"duplicate of DaytonParcels (canonical, Tier 2)",not-checked,,86939,57,
Environmental/Parcels,ownership/transfers,City of Dayton,"High-value, good data — promotion candidate",deduped,"duplicate of DaytonParcels (canonical, Tier 2)",not-checked,,86939,57,
COD_Webpage/Parcels_Boundary,ownership/transfers,City of Dayton,"High-value, good data — promotion candidate",deduped,"duplicate of DaytonParcels (canonical, Tier 2)",not-checked,,86799,58,
Engineering/Parcel_Layer,ownership/transfers,City of Dayton,"High-value, good data — promotion candidate",deduped,"duplicate of DaytonParcels (canonical, Tier 2)",not-checked,,86799,58,
Parcels and Boundaries,ownership/transfers,City of Dayton,"High-value, good data — promotion candidate",deduped,"duplicate of DaytonParcels (canonical, Tier 2)",not-checked,,35,81,2018-11-09
Water/Parcels_Boundary,ownership/transfers,City of Dayton,"High-value, good data — promotion candidate",deduped,"duplicate of DaytonParcels (canonical, Tier 2)",not-checked,,35,81,
CommunityParcels,ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",deduped,"duplicate of DaytonParcels (canonical, Tier 2)",not-checked,,,0,2024-11-11
motparcels2,ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",deduped,"duplicate of DaytonParcels (canonical, Tier 2)",not-checked,,,0,2026-05-07
TornadoAssessment_Housing,,City of Dayton,Lower-value / context,kept,,ok,ok,1015,24,2019-09-25
Lead Copper Rule Revision - Customer Identification,,City of Dayton,Lower-value / context,kept,,no-extent-data,ok,,0,2025-06-16
Lead Copper Rule Revision - Customer Identification_results,,City of Dayton,Lower-value / context,kept,,no-extent-data,ok,,0,2026-07-02
Preschool Promise K Rediness Assessment Data_2024,,City of Dayton,Lower-value / context,kept,,no-extent-data,ok,,0,2024-08-22
TornadoAssessment_RedCross,,City of Dayton,Lower-value / context,kept,,ok,ok,,0,2019-09-25
Hexagonal_LandBank,,MVRPC (regional),Lower-value / context,kept,,ok,ok,,0,2018-03-16
Housing - Jurisdiction,,MVRPC (regional),Lower-value / context,kept,,ok,ok,,0,2022-05-23
Housing_Insecurity_ZIP,,MVRPC (regional),Lower-value / context,kept,,ok,ok,,0,2025-02-13
Housing_Insecurity_ZIP_Clip,,MVRPC (regional),Lower-value / context,kept,,ok,ok,,0,2025-02-26
HS_Place_Remainder,,MVRPC (regional),Lower-value / context,kept,,ok,ok,,0,2025-08-29
RoadsandRivers,,MVRPC (regional),Lower-value / context,kept,,ok,ok,,0,2018-02-12
"Regional Zoning, 2025",affordability/tenure,MVRPC (regional),"High-value, good data — promotion candidate",kept,,ok,ok,970,29,2025-11-26
HS_BlockGroups,affordability/tenure,MVRPC (regional),Tier 1 (backbone),kept,,ok,ok,793,744,2026-05-14
Weak Areas in Siebert Neighborhood Exercise,affordability/tenure,MVRPC (regional),"High-value, good data — promotion candidate",kept,,ok,false-positive (small-by-design or pipeline gap),66,20,2023-10-16
"Aggregate Income, 1980",affordability/tenure,MVRPC (regional),"High-value, weak data — FIX-IT candidate",kept,,ok,ok,,0,2020-01-17
"Aggregate Income, 2010",affordability/tenure,MVRPC (regional),"High-value, weak data — FIX-IT candidate",kept,,ok,ok,,0,2020-01-17
BethelTwpMultiZone,affordability/tenure,MVRPC (regional),"High-value, weak data — FIX-IT candidate",kept,,ok,ok,,0,2020-03-04
HouseholdIncome,affordability/tenure,MVRPC (regional),"High-value, weak data — FIX-IT candidate",kept,,ok,ok,,0,2019-10-11
HouseholdIncomeFINAL,affordability/tenure,MVRPC (regional),"High-value, weak data — FIX-IT candidate",kept,,ok,ok,,0,2019-10-11
P4H Block Groups Final Version Backup,affordability/tenure,MVRPC (regional),"High-value, weak data — FIX-IT candidate",kept,,ok,ok,,0,2022-05-17
PLAN4Health Built Environment Assessment Census Tracts,affordability/tenure,MVRPC (regional),"High-value, weak data — FIX-IT candidate",kept,,ok,ok,,0,2022-11-01
PLAN4Health Built Environment Assessment Hexagons,affordability/tenure,MVRPC (regional),"High-value, weak data — FIX-IT candidate",kept,,ok,ok,,0,2022-11-01
PLAN4Health Health Environment Assessment Block Groups,affordability/tenure,MVRPC (regional),"High-value, weak data — FIX-IT candidate",kept,,ok,ok,,0,2022-10-07
SiebertRiverviewProjectAreaBoundary,affordability/tenure,MVRPC (regional),"High-value, weak data — FIX-IT candidate",kept,,ok,ok,,0,2020-08-10
Projects Exiting LIHTC Program Affordability Period,affordability/tenure,Ohio Housing Finance Agency,"High-value, UNPROFILED — needs a pass",kept,,no-extent-data,ok,,0,
National Housing Preservation Database (NHPD),affordability/tenure,PAHRC / NLIHC,"High-value, UNPROFILED — needs a pass",kept,,no-extent-data,ok,,0,
Nuisance Map 10.24,code enforcement,City of Dayton,"High-value, good data — promotion candidate",kept,,ok,ok,1752,13,2025-10-24
ARPA Nuisance Parcel Points,code enforcement,City of Dayton,"High-value, good data — promotion candidate",kept,,ok,ok,1259,27,2022-09-27
Dayton Recovery Plan (ARPA),code enforcement,City of Dayton,"High-value, UNPROFILED — needs a pass",kept,,no-extent-data,ok,,0,
EMapDocumentsAccelaAccelaIncidents_UPDATEAccelaIncidents_UPDATE.aprx,code enforcement,City of Dayton,"High-value, weak data — FIX-IT candidate",kept,,OUTLIER,ok,,0,2023-01-19
Dayton Housing Condition Survey Parcels 2025,condition/quality,City of Dayton,Tier 1 (backbone),kept,,ok,ok,88922,66,2026-07-10
Dayton Housing Condition Survey Parcels 2025_TABLE,condition/quality,City of Dayton,Tier 1 (backbone),kept,,no-extent-data,ok,88922,66,2026-07-10
PublicWorks/VLM_Inspection,condition/quality,City of Dayton,"High-value, good data — promotion candidate",kept,,no-extent-data,ok,88898,56,
PublicWorks/VLM_Inspection,condition/quality,City of Dayton,"High-value, good data — promotion candidate",kept,,no-extent-data,ok,88898,56,
PublicWorks/VLM_Inspection_UPDATE,condition/quality,City of Dayton,"High-value, good data — promotion candidate",kept,,no-extent-data,ok,88898,44,
PublicWorks/VLM_Inspection_UPDATE,condition/quality,City of Dayton,"High-value, good data — promotion candidate",kept,,no-extent-data,ok,88898,44,
Dayton Housing Condition Survey Parcels 2023,condition/quality,City of Dayton,Tier 1 (backbone),kept,,ok,ok,66033,29,2024-12-18
Dayton Housing Condition Survey Parcels 2023_TABLE,condition/quality,City of Dayton,"High-value, good data — promotion candidate",kept,,no-extent-data,ok,66033,17,2024-12-22
PublicWorks/VLM_Inspected_UPDATE,condition/quality,City of Dayton,"High-value, good data — promotion candidate",kept,,no-extent-data,ok,12536,42,
PublicWorks/VLM_Inspected_UPDATE,condition/quality,City of Dayton,"High-value, good data — promotion candidate",kept,,no-extent-data,ok,12536,42,
PublicWorks/VLM_Inspected,condition/quality,City of Dayton,"High-value, good data — promotion candidate",kept,,no-extent-data,ok,12531,65,
PublicWorks/VLM_Inspected,condition/quality,City of Dayton,"High-value, good data — promotion candidate",kept,,no-extent-data,ok,12531,65,
Parcels_HCS_Nuisance_WaterZero,condition/quality,City of Dayton,"High-value, good data — promotion candidate",kept,,ok,ok,2823,109,2024-09-13
HOUSING_INSPECTION_AREAS_2025_agol_copy,condition/quality,City of Dayton,"High-value, good data — promotion candidate",kept,,ok,ok,107,12,2025-11-17
Address -> Parcel Bridge (code enforcement join),condition/quality,City of Dayton,"High-value, UNPROFILED — needs a pass",kept,,no-extent-data,ok,,1,
BuildingServices/BuildingServicesHousingInspectionAreas,condition/quality,City of Dayton,"High-value, UNPROFILED — needs a pass",kept,,no-extent-data,ok,,0,
BuildingServices/BuildingServicesHousingInspectionAreas,condition/quality,City of Dayton,"High-value, UNPROFILED — needs a pass",kept,,no-extent-data,ok,,0,
Dayton Housing Condition Survey (Hub site),condition/quality,City of Dayton,"High-value, UNPROFILED — needs a pass",kept,,no-extent-data,ok,,0,
DevelopedLand,condition/quality,MVRPC (regional),"High-value, good data — promotion candidate",kept,,ok,ok,,0,2025-06-05
Population_Density_per_Neighborhood,demographics,City of Dayton,Medium-value / supporting,kept,,ok,false-positive (small-by-design or pipeline gap),66,27,2023-06-11
DaytonNeighborhoods_Population,demographics,City of Dayton,Medium-value / supporting,kept,,ok,ok,65,33,2024-12-11
2020 Census Profile Block Groups Data,demographics,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,,0,2023-11-03
2020 Census Profile Census Tracts Data,demographics,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,,0,2022-10-19
2020 Census Profile Jurisdiction Data,demographics,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,,0,2022-10-19
BG _ HousingAge,demographics,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,,0,2026-03-24
Census2020_Pop,demographics,MVRPC (regional),Medium-value / supporting,kept,,ok,ok,,0,2022-06-30
