parcel,source,owner_name,address,jurisdiction,luc,luc_desc,parcel_class,acres,assessed_land,assessed_bldg,has_building,city_department,city_intended_use,development_candidate,census_tract,lat,lon
I39100701 0020,county_only,DAYTON CITY OF,VALLEY CREST DR,,400,Commercial vacant land,C,0000.13600,000000000000.00,000000000000.00,N,,,Y,,,
K45 02602 0011,both,DAYTON CITY OF,AUSTIN BLVD,,300,"Industrial, vacant land",I,0115.85380,000000855950.00,000000000000.00,N,,,Y,39113-050103-1,,
K45 02602 0058,both,DAYTON CITY OF,AUSTIN BLVD,,300,"Industrial, vacant land",I,0023.74400,000000175910.00,000000000000.00,N,,,Y,39113-050103-4,,
K45 02602 0059,both,DAYTON CITY OF,AUSTIN BLVD,,300,"Industrial, vacant land",I,0001.54000,000000011130.00,000000000000.00,N,,,Y,39113-050103-1,,
K45 02602 0083,county_only,DAYTON CITY OF,AUSTIN BLVD,,300,"Industrial, vacant land",I,0006.81100,000000049220.00,000000000000.00,N,,,Y,,,
M58100502 0021,county_only,DAYTON CITY OF,11534 PETERS PIKE,,500,"Residential vacant land, lot",R,0000.28400,000000000000.00,000000000000.00,N,,,Y,,,
R72 00104 0048,county_only,DAYTON CITY OF,GIBBS LN,DAYTON,400,Commercial vacant land,C,0000.00000,000000000000.00,000000000000.00,N,,,Y,,,
R72 00111 0004,county_only,THE CITY OF DAYTON OHIO,UPPER AVE,DAYTON,300,"Industrial, vacant land",I,0000.51500,000000006040.00,000000000000.00,N,,,Y,39113-004600-1,39.749526053804225,-84.24340271725528
R72 00111 0005,county_only,THE CITY OF DAYTON OHIO,UPPER AVE,DAYTON,300,"Industrial, vacant land",I,0000.43000,000000005050.00,000000000000.00,N,,,Y,39113-004600-1,39.74945716216234,-84.24284543563378
R72 00111 0010,county_only,THE CITY OF DAYTON OHIO,THIRD ST,DAYTON,300,"Industrial, vacant land",I,0001.05100,000000005390.00,000000000000.00,N,,,Y,,39.75162493055707,-84.23764572919033
R72 00111 0013,county_only,THE CITY OF DAYTON OHIO,THIRD ST,DAYTON,300,"Industrial, vacant land",I,0000.53800,000000002760.00,000000000000.00,N,,,Y,,39.75146599467492,-84.2385383915845
R72 00604 0003,city_layer_only,,,,,,,,,,N,Economic Development,Development,Y,,,
R72 00609 0020,city_layer_only,,,,,,,,,,N,Economic Development,Development,Y,,,
R72 00612 0118,county_only,DAYTON CITY OF,E 3RD ST,DAYTON,500,"Residential vacant land, lot",R,0000.00800,000000000000.00,000000000000.00,N,,,Y,,,
R72 00702 0011,county_only,DAYTON CITY OF,PATTERSON BLVD,DAYTON,400,Commercial vacant land,C,0000.41600,000000000000.00,000000000000.00,N,,,Y,,,
R72 01005 0030,county_only,DAYTON CITY OF,1ST ST,DAYTON,400,Commercial vacant land,C,0001.88790,000000103010.00,000000000000.00,N,,,Y,,39.7655851597438,-84.1738516156098
R72 01012 0001,county_only,CITY OF DAYTON,FINDLAY ST,DAYTON,400,Commercial vacant land,C,0000.23860,000000000000.00,000000000000.00,N,,,Y,,,
R72 01012 0002,county_only,CITY OF DAYTON,FINDLAY ST,DAYTON,400,Commercial vacant land,C,0000.06710,000000000000.00,000000000000.00,N,,,Y,,,
R72 01012 0003,county_only,CITY OF DAYTON,FINDLAY ST,DAYTON,400,Commercial vacant land,C,0000.15140,000000000000.00,000000000000.00,N,,,Y,,,
R72 01104 0035,county_only,DAYTON CITY OF,E 1ST ST,DAYTON,400,Commercial vacant land,C,0000.00000,000000000000.00,000000000000.00,N,,,Y,,,
