parcel,source,owner_name,address,jurisdiction,luc,luc_desc,parcel_class,acres,assessed_land,assessed_bldg,has_building,city_department,city_intended_use,development_candidate,census_tract,lat,lon
A01 00104 0028,both,CITY OF DAYTON,928 MARTINDALE RD,,640,"Exempt, owned by municipals",E,0000.75000,000000007140.00,000000000000.00,N,Aviation,,N,39113-110100-1,,
A01 00104 0029,both,CITY OF DAYTON,MARTINDALE RD,,640,"Exempt, owned by municipals",E,0000.75000,000000007140.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00104 0034,both,CITY OF DAYTON,892 MARTINDALE RD,,640,"Exempt, owned by municipals",E,0000.58000,000000005570.00,000000000000.00,N,Aviation,,N,39113-110100-1,,
A01 00104 0042,both,CITY OF DAYTON,940 MARTINDALE RD,,640,"Exempt, owned by municipals",E,0000.50000,000000004730.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00104 0072,both,CITY OF DAYTON,955 MARTINDALE RD,,640,"Exempt, owned by municipals",E,0000.94700,000000009240.00,000000000000.00,N,Aviation,,N,39113-110100-1,,
A01 00105 0013,county_only,DAYTON CITY OF,JACKSON RD,,101,,A,0000.01900,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0017,county_only,CITY OF DAYTON,1440 JACKSON RD,,101,,A,0000.05100,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0024,county_only,CITY OF DAYTON,JACKSON RD,,640,"Exempt, owned by municipals",E,0000.11100,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0027,county_only,DAYTON CITY OF,10248 FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.10000,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0028,county_only,CITY OF DAYTON,10222 FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.10000,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0031,county_only,DAYTON CITY OF,10314 FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.08500,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0034,county_only,CITY OF DAYTON,10136 FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.07700,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0041,county_only,CITY OF DAYTON,10180 FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.07100,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0067,county_only,CITY OF DAYTON,JACKSON RD,,100,,A,0000.06300,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0069,county_only,CITY OF DAYTON,1464 JACKSON RD,,501,,R,0000.05200,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0081,county_only,CITY OF DAYTON,10300 FREDERICK PIKE,,640,"Exempt, owned by municipals",E,0000.16400,000000000000.00,000000000000.00,N,,,N,39113-110100-1,,
A01 00105 0084,both,CITY OF DAYTON,JACKSON RD,,640,"Exempt, owned by municipals",E,0001.33600,000000013230.00,000000000000.00,N,,,N,39113-110100-1,,
