parcel,permit_count,distinct_types,top_type,total_valuation,first_permit,last_permit,address,lat,lon
A01 00101 0026,1,1,Residential Electrical Permit,0,2026-04-23,2026-04-23,"2041 LITCHFIELD AVE, DAYTON OH 45406 United States",39.78663055589985,-84.23965392456718
A01 00101 0036,1,1,Residential Building Permit,17000,2026-06-24,2026-06-24,"2120 ELSMERE AVE, DAYTON OH 45406-2919 United States",39.7859012124504,-84.23011347469739
A01 00101 0043,1,1,Residential Mechanical Permit,0,2026-02-25,2026-02-25,"903 WESTWOOD AVE, DAYTON OH 45402-5344 United States",39.76565735197568,-84.2417009575398
A01 00104 0075,1,1,Residential Mechanical Permit,0,2026-06-16,2026-06-16,"1415 ARBOR AVE, DAYTON OH 45420-1910 United States",39.73977830955854,-84.1521551296109
A01 00105 0042,1,1,Residential Electrical Permit,0,2026-05-18,2026-05-18,"4354 FREE PIKE, DAYTON OH 45416-1218 United States",39.7976385721816,-84.26184046735693
A01 00106 0057,1,1,Commercial Mechanical Permit,0,2026-06-02,2026-06-02,"40 S Main ST, DAYTON OH 45402",39.75858596717528,-84.19123324009236
A01 00109 0053,1,1,Residential Electrical Permit,0,2026-04-07,2026-04-07,"135 S WILLIAMS ST, DAYTON OH 45402 United States",,
A01 00109 0088,2,2,Residential Electrical Permit,0,2026-02-20,2026-03-18,"1625 E Fifth ST, DAYTON OH 45403-2303",39.759020121237995,-84.17153439212657
A01 00201 0005,1,1,Residential Building Permit,85000,2026-04-20,2026-04-20,"6654 Chickadee DR, DAYTON OH 45458",,
A01 00205 0036,1,1,Residential Building Permit,200000,2026-06-24,2026-06-24,"3609 WAYNE AVE, DAYTON OH 45420-2438 United States",39.73881352571029,-84.14463141639197
A01 00301 0052,2,2,Residential Gas Permit,0,2026-01-21,2026-05-26,"4356 WEEPING WILLOW DR, DAYTON OH",,
A01 00308 0084,1,1,Residential Electrical Permit,0,2026-05-06,2026-05-06,"314 S JERSEY ST, DAYTON OH 45403-2724 United States",39.760682018016894,-84.15235189928616
A01 00308 0183,2,2,Commercial Building Permit,0,2026-02-02,2026-02-20,"220 E MONUMENT AVE, DAYTON OH 45402-1223 United States",39.7643043947213,-84.18845808544255
A01 00309 0173,1,1,Residential Mechanical Permit,0,2026-06-15,2026-06-15,"1730 AUBURN AVE, DAYTON OH 45406-4512 United States",39.780377522527914,-84.22763817884022
A01 00310 0195,1,1,Residential Building Permit,1000000,2026-06-24,2026-06-24,"2718 WENTWORTH AVE, DAYTON OH 45406-1640 United States",39.795362583899006,-84.25322573538135
A01 20116 0008,1,1,Residential Mechanical Permit,0,2026-06-16,2026-06-16,"4484 CARDINAL FLOWER DR, DAYTON OH 45404",,
A01 20116 0015,1,1,Residential Mechanical Permit,0,2026-06-01,2026-06-01,"978 IRVING AVE, APT/UNIT 46, DAYTON OH 45419-4108 United States",39.73229984561359,-84.1656268531789
A01 20116 0021,1,1,Residential Building Permit,40000,2026-04-22,2026-04-22,"716 MOUNT CLAIR AVE, DAYTON OH 45417-3563 United States",39.73965060707513,-84.24654620845462
A01 20116 0022,1,1,Residential Electrical Permit,0,2026-01-09,2026-01-09,"2901 GRACE AVE, DAYTON OH 45420-2617 United States",39.72494854772629,-84.1386683198666
A01 20125 0027,1,1,Residential Electrical Permit,0,2026-03-24,2026-03-24,"404 OXFORD AVE, DAYTON OH 45402-5801 United States",39.768650079130126,-84.2213091464334
A01 20126 0010,1,1,Residential Mechanical Permit,0,2026-04-28,2026-04-28,"1222 EVERETT DR, DAYTON OH 45402-5603 United States",39.769920572945516,-84.23030014713483
A01 20309 0012,1,1,Residential Electrical Permit,0,2026-06-30,2026-06-30,"2 E HUDSON AVE, DAYTON OH 45405-3502 United States",39.78318182993335,-84.2085038377682
